ecgi,cluster,municipio,lat,lon
7240501003495076,SAO_JOSE_KOBRASOL,Sao Jose,-27.594458,-48.637742
7240501003495238,TRINDADE,Florianopolis,-27.596111,-48.525528
7240501003495564,UFSC,Florianopolis,-27.593478,-48.552089
7240501003508453,VIA_EXPRESSA_CORREDOR,Florianopolis,-27.603972,-48.581722
7240501003510334,CBD_BEIRAMAR,Florianopolis,-27.580392,-48.542172
7240501003861722,TRINDADE,Florianopolis,-27.601811,-48.526975
7240501003862800,CBD_BEIRAMAR,Florianopolis,-27.586028,-48.547444
7240501003862931,CBD_BEIRAMAR,Florianopolis,-27.591397,-48.54975
7240501003962715,BIGUACU_BR101_NORTE,Biguacu,-27.508108,-48.654131
7240501004011684,ESTREITO_CAPOEIRAS,Florianopolis,-27.594453,-48.586731
7240501004550410,UFSC,Florianopolis,-27.590569,-48.557111
7240501004978224,BIGUACU_BR101_NORTE,Biguacu,-27.508108,-48.654131
7240501005162520,INGLESES,Florianopolis,-27.439442,-48.419442
7240501005162538,AEROPORTO_HLZ,Florianopolis,-27.66,-48.543331
7240501005162546,CAMPECHE,Florianopolis,-27.680831,-48.4925
7240501005162554,VIA_EXPRESSA_CORREDOR,Florianopolis,-27.616389,-48.587497
7240501005162562,ESTREITO_CAPOEIRAS,Florianopolis,-27.604942,-48.594306
7240501005162570,SC401_CORREDOR,Florianopolis,-27.574167,-48.533889
7240501005162589,CAMPECHE,Florianopolis,-27.751942,-48.504442
7240501005162597,LAGOA_CONCEICAO,Florianopolis,-27.573889,-48.431667
7240501005162600,CBD_BEIRAMAR,Florianopolis,-27.585,-48.543889
7240501005162619,TRINDADE,Florianopolis,-27.588331,-48.498056
7240501005162627,VIA_EXPRESSA_CORREDOR,Florianopolis,-27.603889,-48.577778
7240501005162635,UFSC,Florianopolis,-27.592608,-48.555469
7240501005162643,RESIDENCIAL_NORTE,Florianopolis,-27.542653,-48.505306
7240501005162651,INGLESES,Florianopolis,-27.466247,-48.382028
7240501005162660,JURERE,Florianopolis,-27.439567,-48.501131
7240501005162678,SC401_CORREDOR,Florianopolis,-27.578497,-48.510581
7240501005162686,ESTREITO_CAPOEIRAS,Florianopolis,-27.580831,-48.594167
7240501005162694,NORTE_ILHA,Florianopolis,-27.481442,-48.49175
7240501005162708,INGLESES,Florianopolis,-27.441667,-48.385831
7240501005162716,LAGOA_CONCEICAO,Florianopolis,-27.633306,-48.473306
7240501005162724,CAMPECHE,Florianopolis,-27.658331,-48.505831
7240501005162732,NORTE_ILHA,Florianopolis,-27.496108,-48.418608
7240501005162740,RESIDENCIAL_NORTE,Florianopolis,-27.554614,-48.497806
7240501005162759,ESTREITO_CAPOEIRAS,Florianopolis,-27.597667,-48.585108
7240501005162767,TRINDADE,Florianopolis,-27.583889,-48.523889
7240501005162775,CANASVIEIRAS,Florianopolis,-27.434294,-48.460597
7240501005162783,UFSC,Florianopolis,-27.596942,-48.549719
7240501005162791,RESIDENCIAL_NORTE,Florianopolis,-27.529167,-48.510831
7240501005162856,JURERE,Florianopolis,-27.439331,-48.489575
7240501005162864,LAGOA_CONCEICAO,Florianopolis,-27.609442,-48.449442
7240501005172207,CAMPECHE,Florianopolis,-27.705278,-48.505556
7240501005172215,NORTE_ILHA,Florianopolis,-27.451806,-48.452108
7240501005172223,TRINDADE,Florianopolis,-27.605831,-48.531389
7240501005309970,AEROPORTO_HLZ,Florianopolis,-27.699858,-48.550608
7240501005319917,SC401_CORREDOR,Florianopolis,-27.56265,-48.516522
7240501005373318,CENTRO_HISTORICO,Florianopolis,-27.60395,-48.546242
7240501005938420,AEROPORTO_HLZ,Florianopolis,-27.722875,-48.563117
